UID	11RosaH	12RosaH	14RosaF	16RosaF	17Rosa-	18Rosa-	8RosaH	9RosaH	CAG-14914	CAG-14915	CMP	GMP	Gfi1.Null	Irf8.Null	LSK
Il1f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1f6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1f8	0	0	0	0	0	0	0	0	0	0	0	0.150559677	0	0	0
Il1f9	3.122672719	2.784503983	1.963474124	2.424922088	5.051807107	3.922197848	4.196134881	2.44625623	5.385431037	3.54225805	1.526068812	2.087462841	5.326609251	1.937344392	1.427606173
Il1r1	2.582556003	1.655351829	1.310340121	1.10433666	1.541019153	2.03562391	1.815575429	1.042644337	2.15704371	2.95419631	1.292781749	1.257010618	2.201633861	0.739848103	5.324450605
Il1r2	1.925999419	2.778208576	6.760753208	2.558267634	6.951634417	3.201633861	4.983221651	5.797012978	4.492494152	5.418527302	0.782408565	2.073820233	0.765534746	2.277984747	1.201633861
Il1rap	3.942983598	3.617063344	3.522306893	3.543495883	2.974529312	3.270528942	3.539779192	3.800123353	3.82374936	3.809414444	4.283180979	4.418189948	3.29130886	3.549669171	3.753818443
Il1rapl1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1rapl2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il1rl1	3.979110755	5.567727963	0.545968369	5.148934105	0.111031312	5.019701914	0	0.214124805	0.35614381	5.18705509	2.060047384	1.974529312	0.82374936	0.22650853	1.475084883
Il1rl2	3.3305584	3.033863452	3.482848283	2.935459748	3.374343989	2.084064265	3.092545742	3.589763487	3.596935142	3.512226887	3.375734539	3.533563348	2.687060688	2.657640005	2.678071905
Il1rn	2.989139007	3.132576843	5.936402378	2.948600847	4.129283017	2.364572432	3.744161096	5.788424707	4.710944155	3.622930351	0.475084883	0.704871964	0.070389328	0.411426246	0
Il2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il20ra	0.773996325	0.201633861	0.097610797	0	0.150559677	1.459431619	0.111031312	0	0	1.384049807	0.137503524	0.056583528	2.469885976	0.042644337	1.613531653
Il20rb	1.98550043	1.378511623	1.731183242	1.316145742	1.286881148	2.147306699	1.384049807	1.372952098	1.117695043	1.941106311	1	0.933572638	2.117695043	1.550900665	0.757023247
Il21	0	0	0	0	0	0.111031312	0	0	0	0	0	0	0	0	0
Il21r	3.397802962	3.711494907	3.63343121	3.87282876	2.589763487	3.196921734	2.63691458	3.499527024	1.914564523	3.17951105	4.750606505	4.651338766	3.71259578	4.82374936	5.478001056
Il22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il22ra1	0	0	0.028569152	0	0	0	0.042644337	0	0	0	0	0.014355293	0	0	0.042644337
Il22ra2	1.555816155	1.275007047	1.077242999	1.028569152	0.23878686	0.50589093	0.575312331	1.257010618	0.137503524	1.232660757	2.939226578	2.87774425	1.49057013	4.074676686	1.124328135
Il23a	0	0	0	0.176322773	0	0	0	0	0	0	0	0	0.124328135	0.111031312	0.176322773
Il23r	0.097610797	0.23878686	0	0	0	0	0	0	0	0.378511623	0	0	0.028569152	0	0
Il24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il27	0	0.344828497	0.831877241	0	1.944858446	0	0	0	0.495695163	0	0.722466024	1.021479727	0.713695815	1.584962501	1.333423734
Il27ra	2.12763328	1.63691458	0.464668267	1.545968369	0.871843649	2.12763328	0.5360529	1.189033824	0.23878686	2.327687364	1.90303827	1.608809243	1.531069493	0.757023247	5.147713722
Il2ra	1.608809243	2.381283373	0.124328135	2.364572432	0.137503524	4.115199749	0.604071324	0.464668267	0.40053793	4.123500664	0.263034406	0.189033824	0.070389328	0.084064265	0.773996325
